date,time,id,roadname,fromnode,tonode,len,maxSpeed,speed,ttime,traffic
2025-10-05,09:00:00,4,정자로,상록사거리,신기사거리,440,50,26,61.0,1
2025-10-05,09:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,10,133.0,2
2025-10-05,09:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,24,114.0,2
2025-10-05,09:10:00,5,정자로,신기사거리,정든마을사거리,374,50,16,84.0,2
2025-10-05,09:10:00,7,불정로,한솔청구어린이집,불정사거리,758,50,22,124.0,2
2025-10-05,09:10:00,9,내정로,계원삼거리,신기사거리,390,30,22,64.0,2
2025-10-05,09:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,20,101.0,2
2025-10-05,09:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,9,148.0,3
2025-10-05,09:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,11,52.0,3
2025-10-05,09:10:00,4,정자로,상록사거리,신기사거리,440,50,25,63.0,2
2025-10-05,09:10:00,11,정자로,상록사거리,금곡교사거리,152,50,32,17.0,1
2025-10-05,09:10:00,10,정자로,신기사거리,상록사거리,440,50,28,57.0,1
2025-10-05,09:10:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,09:20:00,8,불정로,불정사거리,계원삼거리,387,50,36,39.0,1
2025-10-05,09:20:00,11,정자로,상록사거리,금곡교사거리,152,50,36,15.0,1
2025-10-05,09:20:00,2,느티로,궁내사거리,느티마을사거리,158,50,15,38.0,2
2025-10-05,09:20:00,5,정자로,신기사거리,정든마을사거리,374,50,13,104.0,3
2025-10-05,09:20:00,4,정자로,상록사거리,신기사거리,440,50,25,63.0,2
2025-10-05,09:20:00,1,성남대로,금곡교사거리,궁내사거리,561,70,39,52.0,2
2025-10-05,09:20:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,09:20:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,9,148.0,3
2025-10-05,09:20:00,7,불정로,한솔청구어린이집,불정사거리,758,50,34,80.0,1
2025-10-05,09:20:00,3,황새울로,느티마을사거리,상록사거리,560,50,14,144.0,3
2025-10-05,09:20:00,10,정자로,신기사거리,상록사거리,440,50,33,48.0,1
2025-10-05,09:30:00,5,정자로,신기사거리,정든마을사거리,374,50,12,112.0,3
2025-10-05,09:30:00,10,정자로,신기사거리,상록사거리,440,50,31,51.0,1
2025-10-05,09:30:00,4,정자로,상록사거리,신기사거리,440,50,25,63.0,2
2025-10-05,09:30:00,7,불정로,한솔청구어린이집,불정사거리,758,50,35,78.0,1
2025-10-05,09:30:00,1,성남대로,금곡교사거리,궁내사거리,561,70,29,70.0,3
2025-10-05,09:30:00,3,황새울로,느티마을사거리,상록사거리,560,50,14,144.0,3
2025-10-05,09:30:00,9,내정로,계원삼거리,신기사거리,390,30,21,67.0,2
2025-10-05,09:30:00,2,느티로,궁내사거리,느티마을사거리,158,50,15,38.0,2
2025-10-05,09:30:00,8,불정로,불정사거리,계원삼거리,387,50,33,42.0,1
2025-10-05,09:30:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,09:30:00,11,정자로,상록사거리,금곡교사거리,152,50,34,16.0,1
2025-10-05,09:40:00,1,성남대로,금곡교사거리,궁내사거리,561,70,42,48.0,2
2025-10-05,09:40:00,4,정자로,상록사거리,신기사거리,440,50,27,59.0,1
2025-10-05,09:40:00,11,정자로,상록사거리,금곡교사거리,152,50,34,16.0,1
2025-10-05,09:40:00,5,정자로,신기사거리,정든마을사거리,374,50,12,112.0,3
2025-10-05,09:40:00,10,정자로,신기사거리,상록사거리,440,50,23,69.0,2
2025-10-05,09:40:00,3,황새울로,느티마을사거리,상록사거리,560,50,14,144.0,3
2025-10-05,09:40:00,2,느티로,궁내사거리,느티마을사거리,158,50,21,27.0,2
2025-10-05,09:40:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,09:40:00,7,불정로,한솔청구어린이집,불정사거리,758,50,36,76.0,1
2025-10-05,09:40:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,09:40:00,8,불정로,불정사거리,계원삼거리,387,50,38,37.0,1
2025-10-05,09:50:00,1,성남대로,금곡교사거리,궁내사거리,561,70,43,47.0,2
2025-10-05,09:50:00,2,느티로,궁내사거리,느티마을사거리,158,50,18,32.0,2
2025-10-05,09:50:00,5,정자로,신기사거리,정든마을사거리,374,50,17,79.0,2
2025-10-05,09:50:00,3,황새울로,느티마을사거리,상록사거리,560,50,14,144.0,3
2025-10-05,09:50:00,11,정자로,상록사거리,금곡교사거리,152,50,31,18.0,1
2025-10-05,09:50:00,4,정자로,상록사거리,신기사거리,440,50,25,63.0,2
2025-10-05,09:50:00,7,불정로,한솔청구어린이집,불정사거리,758,50,38,72.0,1
2025-10-05,09:50:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,09:50:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,09:50:00,10,정자로,신기사거리,상록사거리,440,50,24,66.0,2
2025-10-05,09:50:00,8,불정로,불정사거리,계원삼거리,387,50,38,37.0,1
2025-10-05,10:00:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,10:00:00,7,불정로,한솔청구어린이집,불정사거리,758,50,33,83.0,1
2025-10-05,10:00:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,10:00:00,1,성남대로,금곡교사거리,궁내사거리,561,70,44,46.0,2
2025-10-05,10:00:00,4,정자로,상록사거리,신기사거리,440,50,25,63.0,2
2025-10-05,10:00:00,11,정자로,상록사거리,금곡교사거리,152,50,26,21.0,1
2025-10-05,10:00:00,2,느티로,궁내사거리,느티마을사거리,158,50,11,52.0,3
2025-10-05,10:00:00,10,정자로,신기사거리,상록사거리,440,50,31,51.0,1
2025-10-05,10:00:00,5,정자로,신기사거리,정든마을사거리,374,50,27,50.0,1
2025-10-05,10:00:00,8,불정로,불정사거리,계원삼거리,387,50,37,38.0,1
2025-10-05,10:00:00,3,황새울로,느티마을사거리,상록사거리,560,50,14,144.0,3
2025-10-05,10:10:00,8,불정로,불정사거리,계원삼거리,387,50,28,50.0,1
2025-10-05,10:10:00,6,정자로,정든마을사거리,한솔청구어린이집,369,30,11,121.0,2
2025-10-05,10:10:00,5,정자로,신기사거리,정든마을사거리,374,50,13,104.0,3
2025-10-05,10:10:00,1,성남대로,금곡교사거리,궁내사거리,561,70,45,45.0,2
2025-10-05,10:10:00,11,정자로,상록사거리,금곡교사거리,152,50,26,21.0,1
2025-10-05,10:10:00,9,내정로,계원삼거리,신기사거리,390,30,18,78.0,2
2025-10-05,10:10:00,3,황새울로,느티마을사거리,상록사거리,560,50,14,144.0,3
2025-10-05,10:10:00,2,느티로,궁내사거리,느티마을사거리,158,50,12,47.0,3
2025-10-05,10:10:00,4,정자로,상록사거리,신기사거리,440,50,28,57.0,1
